,Discipline,Event,Event gender,Medal,NOC,Sport,Year
1090,Athletics,5000m team,M,Gold,ZZX,Athletics,1900
1091,Tennis,mixed doubles,X,Bronze,ZZX,Tennis,1900
1092,Tennis,mixed doubles,X,Silver,ZZX,Tennis,1900
1093,Rowing,pair-oared shell with coxswain (2+),M,Gold,ZZX,Rowing,1900
1094,Polo,polo,M,Bronze,ZZX,Polo,1900
1095,Polo,polo,M,Gold,ZZX,Polo,1900
1096,Polo,polo,M,Silver,ZZX,Polo,1900
1097,Diving,10m platform,M,Bronze,GBR,Aquatics,2012
1098,Diving,10m platform,M,Gold,USA,Aquatics,2012
1099,Diving,10m platform,M,Silver,CHN,Aquatics,2012
1100,Diving,10m platform,W,Bronze,MAS,Aquatics,2012
1101,Diving,10m platform,W,Gold,CHN,Aquatics,2012
1102,Diving,10m platform,W,Silver,AUS,Aquatics,2012
1103,Diving,3m springboard,M,Bronze,CHN,Aquatics,2012
1104,Diving,3m springboard,M,Gold,RUS,Aquatics,2012
1105,Diving,3m springboard,M,Silver,CHN,Aquatics,2012
1106,Diving,3m springboard,W,Bronze,MEX,Aquatics,2012
1107,Diving,3m springboard,W,Gold,CHN,Aquatics,2012
1108,Diving,3m springboard,W,Silver,CHN,Aquatics,2012
1109,Diving,synchronized 10m,M,Bronze,USA,Aquatics,2012
1110,Diving,synchronized 10m,M,Gold,CHN,Aquatics,2012
1111,Diving,synchronized 10m,M,Silver,MEX,Aquatics,2012
1112,Diving,synchronized 10m,W,Bronze,CAN,Aquatics,2012
1113,Diving,synchronized 10m,W,Gold,CHN,Aquatics,2012
1114,Diving,synchronized 10m,W,Silver,MEX,Aquatics,2012
1115,Diving,synchronized 3m,M,Bronze,USA,Aquatics,2012
1116,Diving,synchronized 3m,M,Gold,CHN,Aquatics,2012
1117,Diving,synchronized 3m,M,Silver,RUS,Aquatics,2012
1118,Diving,synchronized 3m,W,Bronze,CAN,Aquatics,2012
1119,Diving,synchronized 3m,W,Gold,CHN,Aquatics,2012
1120,Diving,synchronized 3m,W,Silver,USA,Aquatics,2012
1121,Swimming,100m backstroke,M,Bronze,JPN,Aquatics,2012
1122,Swimming,100m backstroke,M,Gold,USA,Aquatics,2012
1123,Swimming,100m backstroke,M,Silver,USA,Aquatics,2012
1124,Swimming,100m backstroke,W,Bronze,JPN,Aquatics,2012
1125,Swimming,100m backstroke,W,Gold,USA,Aquatics,2012
1126,Swimming,100m backstroke,W,Silver,AUS,Aquatics,2012
1127,Swimming,100m breaststroke,M,Bronze,USA,Aquatics,2012
1128,Swimming,100m breaststroke,M,Gold,RSA,Aquatics,2012
1129,Swimming,100m breaststroke,M,Silver,AUS,Aquatics,2012
1130,Swimming,100m breaststroke,W,Bronze,JPN,Aquatics,2012
1131,Swimming,100m breaststroke,W,Gold,LTU,Aquatics,2012
1132,Swimming,100m breaststroke,W,Silver,USA,Aquatics,2012
1133,Swimming,100m butterfly,M,Gold,USA,Aquatics,2012
1134,Swimming,100m butterfly,M,Silver,RSA,Aquatics,2012
1135,Swimming,100m butterfly,M,Silver,RUS,Aquatics,2012
1136,Swimming,100m butterfly,W,Bronze,AUS,Aquatics,2012
1137,Swimming,100m butterfly,W,Gold,USA,Aquatics,2012
1138,Swimming,100m butterfly,W,Silver,CHN,Aquatics,2012
1139,Swimming,100m freestyle,M,Bronze,CAN,Aquatics,2012
1140,Swimming,100m freestyle,M,Gold,USA,Aquatics,2012
1141,Swimming,100m freestyle,M,Silver,AUS,Aquatics,2012
1142,Swimming,100m freestyle,W,Bronze,CHN,Aquatics,2012
1143,Swimming,100m freestyle,W,Gold,NED,Aquatics,2012
1144,Swimming,100m freestyle,W,Silver,BLR,Aquatics,2012
1145,Swimming,1500m freestyle,M,Bronze,TUN,Aquatics,2012
1146,Swimming,1500m freestyle,M,Gold,CHN,Aquatics,2012
1147,Swimming,1500m freestyle,M,Silver,CAN,Aquatics,2012
1148,Swimming,200m backstroke,M,Bronze,USA,Aquatics,2012
1149,Swimming,200m backstroke,M,Gold,USA,Aquatics,2012
1150,Swimming,200m backstroke,M,Silver,JPN,Aquatics,2012
1151,Swimming,200m backstroke,W,Bronze,USA,Aquatics,2012
1152,Swimming,200m backstroke,W,Gold,USA,Aquatics,2012
1153,Swimming,200m backstroke,W,Silver,RUS,Aquatics,2012
1154,Swimming,200m breaststroke,M,Bronze,JPN,Aquatics,2012
1155,Swimming,200m breaststroke,M,Gold,HUN,Aquatics,2012
1156,Swimming,200m breaststroke,M,Silver,GBR,Aquatics,2012
1157,Swimming,200m breaststroke,W,Bronze,RUS,Aquatics,2012
1158,Swimming,200m breaststroke,W,Gold,USA,Aquatics,2012
1159,Swimming,200m breaststroke,W,Silver,JPN,Aquatics,2012
1160,Swimming,200m butterfly,M,Bronze,JPN,Aquatics,2012
1161,Swimming,200m butterfly,M,Gold,RSA,Aquatics,2012
1162,Swimming,200m butterfly,M,Silver,USA,Aquatics,2012
1163,Swimming,200m butterfly,W,Bronze,JPN,Aquatics,2012
1164,Swimming,200m butterfly,W,Gold,CHN,Aquatics,2012
1165,Swimming,200m butterfly,W,Silver,ESP,Aquatics,2012
1166,Swimming,200m freestyle,M,Silver,CHN,Aquatics,2012
1167,Swimming,200m freestyle,M,Gold,FRA,Aquatics,2012
1168,Swimming,200m freestyle,M,Silver,KOR,Aquatics,2012
1169,Swimming,200m freestyle,W,Bronze,AUS,Aquatics,2012
1170,Swimming,200m freestyle,W,Gold,USA,Aquatics,2012
1171,Swimming,200m freestyle,W,Silver,FRA,Aquatics,2012
1172,Swimming,200m medley,M,Bronze,HUN,Aquatics,2012
1173,Swimming,200m medley,M,Gold,USA,Aquatics,2012
1174,Swimming,200m medley,M,Silver,USA,Aquatics,2012
1175,Swimming,200m medley,W,Bronze,USA,Aquatics,2012
1176,Swimming,200m medley,W,Gold,CHN,Aquatics,2012
1177,Swimming,200m medley,W,Silver,AUS,Aquatics,2012
1178,Swimming,400m freestyle,M,Bronze,USA,Aquatics,2012
1179,Swimming,400m freestyle,M,Gold,CHN,Aquatics,2012
1180,Swimming,400m freestyle,M,Silver,KOR,Aquatics,2012
1181,Swimming,400m freestyle,W,Bronze,GBR,Aquatics,2012
1182,Swimming,400m freestyle,W,Gold,FRA,Aquatics,2012
1183,Swimming,400m freestyle,W,Silver,USA,Aquatics,2012
1184,Swimming,400m medley,M,Bronze,JPN,Aquatics,2012
1185,Swimming,400m medley,M,Gold,USA,Aquatics,2012
1186,Swimming,400m medley,M,Silver,BRA,Aquatics,2012
1187,Swimming,400m medley,W,Bronze,CHN,Aquatics,2012
1188,Swimming,400m medley,W,Gold,CHN,Aquatics,2012
1189,Swimming,400m medley,W,Silver,USA,Aquatics,2012
1190,Swimming,4x100m freestyle,M,Bronze,RUS,Aquatics,2012
1191,Swimming,4x100m freestyle,M,Gold,FRA,Aquatics,2012
1192,Swimming,4x100m freestyle,M,Silver,USA,Aquatics,2012
1193,Swimming,4x100m freestyle,W,Bronze,USA,Aquatics,2012
1194,Swimming,4x100m freestyle,W,Gold,AUS,Aquatics,2012
1195,Swimming,4x100m freestyle,W,Silver,NED,Aquatics,2012
1196,Swimming,4x100m medley,M,Bronze,AUS,Aquatics,2012
1197,Swimming,4x100m medley,M,Gold,USA,Aquatics,2012
1198,Swimming,4x100m medley,M,Silver,JPN,Aquatics,2012
1199,Swimming,4x100m medley,W,Bronze,JPN,Aquatics,2012
1200,Swimming,4x100m medley,W,Gold,USA,Aquatics,2012
1201,Swimming,4x100m medley,W,Silver,AUS,Aquatics,2012
1202,Swimming,4x200m freestyle,M,Bronze,CHN,Aquatics,2012
1203,Swimming,4x200m freestyle,M,Gold,USA,Aquatics,2012
1204,Swimming,4x200m freestyle,M,Silver,FRA,Aquatics,2012
1205,Swimming,4x200m freestyle,W,Bronze,FRA,Aquatics,2012
1206,Swimming,4x200m freestyle,W,Gold,USA,Aquatics,2012
1207,Swimming,4x200m freestyle,W,Silver,AUS,Aquatics,2012
1208,Swimming,50m freestyle,M,Bronze,BRA,Aquatics,2012
1209,Swimming,50m freestyle,M,Gold,FRA,Aquatics,2012
1210,Swimming,50m freestyle,M,Silver,USA,Aquatics,2012
1211,Swimming,50m freestyle,W,Bronze,NED,Aquatics,2012
1212,Swimming,50m freestyle,W,Gold,NED,Aquatics,2012
1213,Swimming,50m freestyle,W,Silver,BLR,Aquatics,2012
1214,Swimming,800m freestyle,W,Bronze,GBR,Aquatics,2012
1215,Swimming,800m freestyle,W,Gold,USA,Aquatics,2012
1216,Swimming,800m freestyle,W,Silver,ESP,Aquatics,2012
1217,Swimming,marathon 10km,M,Bronze,CAN,Aquatics,2012
1218,Swimming,marathon 10km,M,Gold,TUN,Aquatics,2012
1219,Swimming,marathon 10km,M,Silver,GER,Aquatics,2012
1220,Swimming,marathon 10km,W,Bronze,ITA,Aquatics,2012
1221,Swimming,marathon 10km,W,Gold,HUN,Aquatics,2012
1222,Swimming,marathon 10km,W,Silver,USA,Aquatics,2012
1223,Synchronized Swimming,duet,W,Bronze,CHN,Aquatics,2012
1224,Synchronized Swimming,duet,W,Gold,RUS,Aquatics,2012
1225,Synchronized Swimming,duet,W,Silver,ESP,Aquatics,2012
1226,Synchronized Swimming,team,W,Bronze,ESP,Aquatics,2012
1227,Synchronized Swimming,team,W,Gold,RUS,Aquatics,2012
1228,Synchronized Swimming,team,W,Silver,CHN,Aquatics,2012
1229,Water polo,water polo,M,Bronze,SRB,Aquatics,2012
1230,Water polo,water polo,M,Gold,CRO,Aquatics,2012
1231,Water polo,water polo,M,Silver,ITA,Aquatics,2012
1232,Water polo,water polo,W,Bronze,AUS,Aquatics,2012
1233,Water polo,water polo,W,Gold,USA,Aquatics,2012
1234,Water polo,water polo,W,Silver,ESP,Aquatics,2012
1235,Archery,individual,M,Bronze,CHN,Archery,2012
1236,Archery,individual,M,Gold,KOR,Archery,2012
1237,Archery,individual,M,Silver,JPN,Archery,2012
1238,Archery,individual,W,Bronze,MEX,Archery,2012
1239,Archery,individual,W,Gold,KOR,Archery,2012
1240,Archery,individual,W,Silver,MEX,Archery,2012
1241,Archery,team (FITA),M,Bronze,KOR,Archery,2012
1242,Archery,team (FITA),M,Gold,ITA,Archery,2012
1243,Archery,team (FITA),M,Silver,USA,Archery,2012
1244,Archery,team (FITA),W,Bronze,JPN,Archery,2012
1245,Archery,team (FITA),W,Gold,KOR,Archery,2012
1246,Archery,team (FITA),W,Silver,CHN,Archery,2012
1247,Athletics,10000m,M,Bronze,ETH,Athletics,2012
1248,Athletics,10000m,M,Gold,GBR,Athletics,2012
1249,Athletics,10000m,M,Silver,USA,Athletics,2012
1250,Athletics,10000m,W,Bronze,KEN,Athletics,2012
1251,Athletics,10000m,W,Gold,ETH,Athletics,2012
1252,Athletics,10000m,W,Silver,KEN,Athletics,2012
1253,Athletics,100m,M,Bronze,USA,Athletics,2012
1254,Athletics,100m,M,Gold,JAM,Athletics,2012
1255,Athletics,100m,M,Silver,JAM,Athletics,2012
1256,Athletics,100m,W,Bronze,JAM,Athletics,2012
1257,Athletics,100m,W,Gold,JAM,Athletics,2012
1258,Athletics,100m,W,Silver,USA,Athletics,2012
1259,Athletics,100m hurdles,W,Bronze,USA,Athletics,2012
1260,Athletics,100m hurdles,W,Gold,AUS,Athletics,2012
1261,Athletics,100m hurdles,W,Silver,USA,Athletics,2012
1262,Athletics,110m hurdles,M,Bronze,JAM,Athletics,2012
1263,Athletics,110m hurdles,M,Gold,USA,Athletics,2012
1264,Athletics,110m hurdles,M,Silver,USA,Athletics,2012
1265,Athletics,1500m,M,Bronze,MAR,Athletics,2012
1266,Athletics,1500m,M,Gold,ALG,Athletics,2012
1267,Athletics,1500m,M,Silver,USA,Athletics,2012
1268,Athletics,1500m,W,Bronze,BRN,Athletics,2012
1269,Athletics,1500m,W,Gold,pending,Athletics,2012
1270,Athletics,1500m,W,Silver,TUR,Athletics,2012
1271,Athletics,200m,M,Bronze,JAM,Athletics,2012
1272,Athletics,200m,M,Gold,JAM,Athletics,2012
1273,Athletics,200m,M,Silver,JAM,Athletics,2012
1274,Athletics,200m,W,Bronze,USA,Athletics,2012
1275,Athletics,200m,W,Gold,USA,Athletics,2012
1276,Athletics,200m,W,Silver,JAM,Athletics,2012
1277,Athletics,20km race walk,W,Bronze,CHN,Athletics,2012
1278,Athletics,20km race walk,W,Gold,RUS,Athletics,2012
1279,Athletics,20km race walk,W,Silver,pending,Athletics,2012
1280,Athletics,20km walk,M,Bronze,CHN,Athletics,2012
1281,Athletics,20km walk,M,Gold,CHN,Athletics,2012
1282,Athletics,20km walk,M,Silver,GUA,Athletics,2012
1283,Athletics,3000m steeple,W,Bronze,ETH,Athletics,2012
1284,Athletics,3000m steeple,W,Gold,pending,Athletics,2012
1285,Athletics,3000m steeple,W,Silver,TUN,Athletics,2012
1286,Athletics,3000m steeplechase,M,Bronze,KEN,Athletics,2012
1287,Athletics,3000m steeplechase,M,Gold,KEN,Athletics,2012
1288,Athletics,3000m steeplechase,M,Silver,FRA,Athletics,2012
1289,Athletics,400m,M,Bronze,TTO,Athletics,2012
1290,Athletics,400m,M,Gold,GRN,Athletics,2012
1291,Athletics,400m,M,Silver,DOM,Athletics,2012
1292,Athletics,400m,W,Bronze,USA,Athletics,2012
1293,Athletics,400m,W,Gold,USA,Athletics,2012
1294,Athletics,400m,W,Silver,GBR,Athletics,2012
1295,Athletics,400m hurdles,M,Bronze,PUR,Athletics,2012
1296,Athletics,400m hurdles,M,Gold,DOM,Athletics,2012
1297,Athletics,400m hurdles,M,Silver,USA,Athletics,2012
1298,Athletics,400m hurdles,W,Bronze,CZE,Athletics,2012
1299,Athletics,400m hurdles,W,Gold,RUS,Athletics,2012
1300,Athletics,400m hurdles,W,Silver,USA,Athletics,2012
1301,Athletics,4x100m relay,M,Bronze,FRA,Athletics,2012
1302,Athletics,4x100m relay,M,Gold,JAM,Athletics,2012
1303,Athletics,4x100m relay,M,Silver,TTO,Athletics,2012
1304,Athletics,4x100m relay,W,Bronze,UKR,Athletics,2012
1305,Athletics,4x100m relay,W,Gold,USA,Athletics,2012
1306,Athletics,4x100m relay,W,Silver,JAM,Athletics,2012
1307,Athletics,4x400m relay,M,Bronze,TTO,Athletics,2012
1308,Athletics,4x400m relay,M,Gold,BAH,Athletics,2012
1309,Athletics,4x400m relay,M,Silver,USA,Athletics,2012
1310,Athletics,4x400m relay,W,Bronze,JAM,Athletics,2012
1311,Athletics,4x400m relay,W,Gold,USA,Athletics,2012
1312,Athletics,4x400m relay,W,Silver,RUS,Athletics,2012
1313,Athletics,5000m,M,Bronze,KEN,Athletics,2012
1314,Athletics,5000m,M,Gold,GBR,Athletics,2012
1315,Athletics,5000m,M,Silver,ETH,Athletics,2012
1316,Athletics,5000m,W,Bronze,ETH,Athletics,2012
1317,Athletics,5000m,W,Gold,ETH,Athletics,2012
1318,Athletics,5000m,W,Silver,KEN,Athletics,2012
1319,Athletics,50km walk,M,Bronze,CHN,Athletics,2012
1320,Athletics,50km walk,M,Gold,pending,Athletics,2012
1321,Athletics,50km walk,M,Silver,AUS,Athletics,2012
1322,Athletics,800m,M,Bronze,KEN,Athletics,2012
1323,Athletics,800m,M,Gold,KEN,Athletics,2012
1324,Athletics,800m,M,Silver,BOT,Athletics,2012
1325,Athletics,800m,W,Bronze,RUS,Athletics,2012
1326,Athletics,800m,W,Gold,RUS,Athletics,2012
1327,Athletics,800m,W,Silver,RSA,Athletics,2012
1328,Athletics,decathlon,M,Bronze,CUB,Athletics,2012
1329,Athletics,decathlon,M,Gold,USA,Athletics,2012
1330,Athletics,decathlon,M,Silver,USA,Athletics,2012
1331,Athletics,discus throw,M,Bronze,EST,Athletics,2012
1332,Athletics,discus throw,M,Gold,GER,Athletics,2012
1333,Athletics,discus throw,M,Silver,IRI,Athletics,2012
1334,Athletics,discus throw,W,Bronze,CUB,Athletics,2012
1335,Athletics,discus throw,W,Gold,CRO,Athletics,2012
1336,Athletics,discus throw,W,Silver,CHN,Athletics,2012
1337,Athletics,hammer throw,M,Bronze,JPN,Athletics,2012
1338,Athletics,hammer throw,M,Gold,HUN,Athletics,2012
1339,Athletics,hammer throw,M,Silver,SLO,Athletics,2012
1340,Athletics,hammer throw,W,Bronze,GER,Athletics,2012
1341,Athletics,hammer throw,W,Gold,RUS,Athletics,2012
1342,Athletics,hammer throw,W,Silver,POL,Athletics,2012
1343,Athletics,heptathlon,W,Bronze,RUS,Athletics,2012
1344,Athletics,heptathlon,W,Gold,GBR,Athletics,2012
1345,Athletics,heptathlon,W,Silver,GER,Athletics,2012
1346,Athletics,high jump,M,Bronze,CAN,Athletics,2012
1347,Athletics,high jump,M,Bronze,GBR,Athletics,2012
1348,Athletics,high jump,M,Bronze,QAT,Athletics,2012
1349,Athletics,high jump,M,Gold,RUS,Athletics,2012
1350,Athletics,high jump,M,Silver,USA,Athletics,2012
1351,Athletics,high jump,W,Bronze,RUS,Athletics,2012
1352,Athletics,high jump,W,Gold,RUS,Athletics,2012
1353,Athletics,high jump,W,Silver,USA,Athletics,2012
1354,Athletics,javelin throw,M,Bronze,FIN,Athletics,2012
1355,Athletics,javelin throw,M,Gold,TTO,Athletics,2012
1356,Athletics,javelin throw,M,Silver,UKR,Athletics,2012
1357,Athletics,javelin throw,W,Bronze,GER,Athletics,2012
1358,Athletics,javelin throw,W,Gold,CZE,Athletics,2012
1359,Athletics,javelin throw,W,Silver,GER,Athletics,2012
1360,Athletics,long jump,M,Bronze,USA,Athletics,2012
1361,Athletics,long jump,M,Gold,GBR,Athletics,2012
1362,Athletics,long jump,M,Silver,AUS,Athletics,2012
1363,Athletics,long jump,W,Bronze,USA,Athletics,2012
1364,Athletics,long jump,W,Gold,USA,Athletics,2012
1365,Athletics,long jump,W,Silver,RUS,Athletics,2012
1366,Athletics,marathon,M,Bronze,KEN,Athletics,2012
1367,Athletics,marathon,M,Gold,UGA,Athletics,2012
1368,Athletics,marathon,M,Silver,KEN,Athletics,2012
1369,Athletics,marathon,W,Bronze,RUS,Athletics,2012
1370,Athletics,marathon,W,Gold,ETH,Athletics,2012
1371,Athletics,marathon,W,Silver,KEN,Athletics,2012
1372,Athletics,pole vault,M,Bronze,GER,Athletics,2012
1373,Athletics,pole vault,M,Gold,FRA,Athletics,2012
1374,Athletics,pole vault,M,Silver,GER,Athletics,2012
1375,Athletics,pole vault,W,Bronze,RUS,Athletics,2012
1376,Athletics,pole vault,W,Gold,USA,Athletics,2012
1377,Athletics,pole vault,W,Silver,CUB,Athletics,2012
1378,Athletics,shot put,M,Bronze,USA,Athletics,2012
1379,Athletics,shot put,M,Gold,POL,Athletics,2012
1380,Athletics,shot put,M,Silver,GER,Athletics,2012
1381,Athletics,shot put,W,Bronze,CHN,Athletics,2012
1382,Athletics,shot put,W,Gold,NZL,Athletics,2012
1383,Athletics,shot put,W,Silver,RUS,Athletics,2012
1384,Athletics,triple jump,M,Bronze,ITA,Athletics,2012
1385,Athletics,triple jump,M,Gold,USA,Athletics,2012
1386,Athletics,triple jump,M,Silver,USA,Athletics,2012
1387,Athletics,triple jump,W,Bronze,UKR,Athletics,2012
1388,Athletics,triple jump,W,Gold,KAZ,Athletics,2012
1389,Athletics,triple jump,W,Silver,COL,Athletics,2012
1390,Badminton,doubles,M,Bronze,KOR,Badminton,2012
1391,Badminton,doubles,M,Gold,CHN,Badminton,2012
1392,Badminton,doubles,M,Silver,DEN,Badminton,2012
1393,Badminton,doubles,W,Bronze,RUS,Badminton,2012
1394,Badminton,doubles,W,Gold,CHN,Badminton,2012
1395,Badminton,doubles,W,Silver,JPN,Badminton,2012
1396,Badminton,doubles,Mixed,Bronze,DEN,Badminton,2012
1397,Badminton,doubles,Mixed,Gold,CHN,Badminton,2012
1398,Badminton,doubles,Mixed,Silver,CHN,Badminton,2012
1399,Badminton,singles,M,Bronze,CHN,Badminton,2012
1400,Badminton,singles,M,Gold,CHN,Badminton,2012
1401,Badminton,singles,M,Silver,MAS,Badminton,2012
1402,Badminton,singles,W,Bronze,IND,Badminton,2012
1403,Badminton,singles,W,Gold,CHN,Badminton,2012
1404,Badminton,singles,W,Silver,CHN,Badminton,2012
1405,Basketball,basketball,M,Bronze,RUS,Basketball,2012
1406,Basketball,basketball,M,Gold,USA,Basketball,2012
1407,Basketball,basketball,M,Silver,ESP,Basketball,2012
1408,Basketball,basketball,W,Bronze,AUS,Basketball,2012
1409,Basketball,basketball,W,Gold,USA,Basketball,2012
1410,Basketball,basketball,W,Silver,FRA,Basketball,2012
1411,Boxing,+ 91kg,M,Bronze,AZE,Boxing,2012
1412,Boxing,+ 91kg,M,Bronze,KAZ,Boxing,2012
1413,Boxing,+ 91kg,M,Gold,GBR,Boxing,2012
1414,Boxing,+ 91kg,M,Silver,ITA,Boxing,2012
1415,Boxing,46 - 49kg,M,Bronze,IRL,Boxing,2012
1416,Boxing,46 - 49kg,M,Bronze,RUS,Boxing,2012
1417,Boxing,46 - 49kg,M,Gold,CHN,Boxing,2012
1418,Boxing,46 - 49kg,M,Silver,THA,Boxing,2012
1419,Boxing,51 kg,W,Bronze,IND,Boxing,2012
1420,Boxing,51 kg,W,Bronze,USA,Boxing,2012
1421,Boxing,51 kg,W,Gold,GBR,Boxing,2012
1422,Boxing,51 kg,W,Silver,CHN,Boxing,2012
1423,Boxing,52kg,M,Bronze,IRL,Boxing,2012
1424,Boxing,52kg,M,Bronze,RUS,Boxing,2012
1425,Boxing,52kg,M,Gold,CUB,Boxing,2012
1426,Boxing,52kg,M,Silver,MGL,Boxing,2012
1427,Boxing,56kg,M,Bronze,CUB,Boxing,2012
1428,Boxing,56kg,M,Bronze,JPN,Boxing,2012
1429,Boxing,56kg,M,Gold,GBR,Boxing,2012
1430,Boxing,56kg,M,Silver,IRL,Boxing,2012
1431,Boxing,57 - 60kg,M,Bronze,CUB,Boxing,2012
1432,Boxing,57 - 60kg,M,Bronze,LTU,Boxing,2012
1433,Boxing,57 - 60kg,M,Gold,UKR,Boxing,2012
1434,Boxing,57 - 60kg,M,Silver,KOR,Boxing,2012
1435,Boxing,60 - 64 kg,M,Bronze,ITA,Boxing,2012
1436,Boxing,60 - 64 kg,M,Bronze,MGL,Boxing,2012
1437,Boxing,60 - 64 kg,M,Gold,CUB,Boxing,2012
1438,Boxing,60 - 64 kg,M,Silver,UKR,Boxing,2012
1439,Boxing,60 kg,W,Bronze,BRA,Boxing,2012
1440,Boxing,60 kg,W,Bronze,TJK,Boxing,2012
1441,Boxing,60 kg,W,Gold,IRL,Boxing,2012
1442,Boxing,60 kg,W,Silver,RUS,Boxing,2012
1443,Boxing,64 - 69 kg,M,Bronze,RUS,Boxing,2012
1444,Boxing,64 - 69 kg,M,Bronze,UKR,Boxing,2012
1445,Boxing,64 - 69 kg,M,Gold,KAZ,Boxing,2012
1446,Boxing,64 - 69 kg,M,Silver,GBR,Boxing,2012
1447,Boxing,69 - 75 kg,M,Bronze,GBR,Boxing,2012
1448,Boxing,69 - 75 kg,M,Bronze,UZB,Boxing,2012
1449,Boxing,69 - 75 kg,M,Gold,JPN,Boxing,2012
1450,Boxing,69 - 75 kg,M,Silver,BRA,Boxing,2012
1451,Boxing,75 - 81kg,M,Bronze,BRA,Boxing,2012
1452,Boxing,75 - 81kg,M,Bronze,UKR,Boxing,2012
1453,Boxing,75 - 81kg,M,Gold,RUS,Boxing,2012
1454,Boxing,75 - 81kg,M,Silver,KAZ,Boxing,2012
1455,Boxing,75 kg,W,Bronze,CHN,Boxing,2012
1456,Boxing,75 kg,W,Bronze,KAZ,Boxing,2012
1457,Boxing,75 kg,W,Gold,USA,Boxing,2012
1458,Boxing,75 kg,W,Silver,RUS,Boxing,2012
1459,Boxing,81 - 91kg,M,Bronze,AZE,Boxing,2012
1460,Boxing,81 - 91kg,M,Bronze,BUL,Boxing,2012
1461,Boxing,81 - 91kg,M,Gold,UKR,Boxing,2012
1462,Boxing,81 - 91kg,M,Silver,ITA,Boxing,2012
1463,Canoe Sprint,C-1 1000m,M,Bronze,CAN,Canoe,2012
1464,Canoe Sprint,C-1 1000m,M,Gold,GER,Canoe,2012
1465,Canoe Sprint,C-1 1000m,M,Silver,ESP,Canoe,2012
1466,Canoe Sprint,C-1 200m,M,Bronze,RUS,Canoe,2012
1467,Canoe Sprint,C-1 200m,M,Gold,UKR,Canoe,2012
1468,Canoe Sprint,C-1 200m,M,Silver,LTU,Canoe,2012
1469,Canoe Sprint,C-2 1000m,M,Bronze,RUS,Canoe,2012
1470,Canoe Sprint,C-2 1000m,M,Gold,GER,Canoe,2012
1471,Canoe Sprint,C-2 1000m,M,Silver,BLR,Canoe,2012
1472,Canoe Sprint,K-1 1000m,M,Bronze,GER,Canoe,2012
1473,Canoe Sprint,K-1 1000m,M,Gold,NOR,Canoe,2012
1474,Canoe Sprint,K-1 1000m,M,Silver,CAN,Canoe,2012
1475,Canoe Sprint,K-1 200m,M,Bronze,CAN,Canoe,2012
1476,Canoe Sprint,K-1 200m,M,Gold,GBR,Canoe,2012
1477,Canoe Sprint,K-1 200m,M,Silver,ESP,Canoe,2012
1478,Canoe Sprint,K-1 200m,W,Bronze,HUN,Canoe,2012
1479,Canoe Sprint,K-1 200m,W,Gold,NZL,Canoe,2012
1480,Canoe Sprint,K-1 200m,W,Silver,UKR,Canoe,2012
1481,Canoe Sprint,K-1 500m,W,Bronze,RSA,Canoe,2012
1482,Canoe Sprint,K-1 500m,W,Gold,HUN,Canoe,2012
1483,Canoe Sprint,K-1 500m,W,Silver,UKR,Canoe,2012
1484,Canoe Sprint,K-2 1000m,M,Bronze,GER,Canoe,2012
1485,Canoe Sprint,K-2 1000m,M,Gold,HUN,Canoe,2012
1486,Canoe Sprint,K-2 1000m,M,Silver,POR,Canoe,2012
1487,Canoe Sprint,K-2 200m,M,Bronze,GBR,Canoe,2012
1488,Canoe Sprint,K-2 200m,M,Gold,RUS,Canoe,2012
1489,Canoe Sprint,K-2 200m,M,Silver,BLR,Canoe,2012
1490,Canoe Sprint,K-2 500m,W,Bronze,POL,Canoe,2012
1491,Canoe Sprint,K-2 500m,W,Gold,GER,Canoe,2012
1492,Canoe Sprint,K-2 500m,W,Silver,HUN,Canoe,2012
1493,Canoe Sprint,K-4 1000m,M,Bronze,CZE,Canoe,2012
1494,Canoe Sprint,K-4 1000m,M,Gold,AUS,Canoe,2012
1495,Canoe Sprint,K-4 1000m,M,Silver,HUN,Canoe,2012
1496,Canoe Sprint,K-4 500m,W,Bronze,BLR,Canoe,2012
1497,Canoe Sprint,K-4 500m,W,Gold,HUN,Canoe,2012
1498,Canoe Sprint,K-4 500m,W,Silver,GER,Canoe,2012
1499,Canoe Slalom,C-1 (single),M,Bronze,SVK,Canoe,2012
1500,Canoe Slalom,C-1 (single),M,Gold,FRA,Canoe,2012
1501,Canoe Slalom,C-1 (single),M,Silver,GER,Canoe,2012
1502,Canoe Slalom,C-2 (double),M,Bronze,SVK,Canoe,2012
1503,Canoe Slalom,C-2 (double),M,Gold,GBR,Canoe,2012
1504,Canoe Slalom,C-2 (double),M,Silver,GBR,Canoe,2012
1505,Canoe Slalom,K-1 (single),M,Bronze,GER,Canoe,2012
1506,Canoe Slalom,K-1 (single),M,Gold,ITA,Canoe,2012
1507,Canoe Slalom,K-1 (single),M,Silver,CZE,Canoe,2012
1508,Canoe Slalom,K-1 (single),W,Bronze,ESP,Canoe,2012
1509,Canoe Slalom,K-1 (single),W,Gold,FRA,Canoe,2012
1510,Canoe Slalom,K-1 (single),W,Silver,AUS,Canoe,2012
1511,Cycling BMX,Individual,M,Bronze,COL,Cycling,2012
1512,Cycling BMX,Individual,M,Gold,LAT,Cycling,2012
1513,Cycling BMX,Individual,M,Silver,AUS,Cycling,2012
1514,Cycling BMX,individual,W,Bronze,NED,Cycling,2012
