0,1,2,3,4,5,6,7,8,9,10
Rowing - all medal dom.,13.100000000000001,10.12,8.93,6.550000000000001,5.949999999999999,5.36,5.36,4.760000000000001,4.760000000000001,4.760000000000001
Rowing,GBR,ROU,NZL,GER,AUS,FRA,POL,USA,DEN,NOR
Rowing - gold medal dom.,16.07,12.5,10.71,10.71,5.36,5.36,5.36,5.36,5.36,3.57
Sailing,GBR,AUS,USA,BRA,ESP,DEN,NED,FRA,ARG,NZL
Sailing - all medal dom.,16.28,8.53,6.2,5.43,5.43,4.65,4.65,4.65,4.65,3.88
Sailing,GBR,AUS,ESP,AUT,USA,BRA,CHN,DEN,NZL,FIN
Sailing - gold medal dom.,23.26,16.28,9.3,6.98,6.98,4.65,4.65,4.65,4.65,2.33
Shooting,CHN,RUS,USA,ITA,KOR,CZE,UKR,GER,AUS,BLR
Shooting - all medal dom.,16.669999999999998,10.94,8.33,6.77,5.7299999999999995,4.17,3.65,3.65,3.1199999999999997,3.1199999999999997
Shooting,CHN,USA,UKR,RUS,KOR,ITA,BUL,GBR,SWE,GER
Shooting - gold medal dom.,21.88,12.5,6.25,6.25,6.25,6.25,4.69,3.12,3.12,3.12
Softball,AUS,JPN,USA,,,,,,,
Softball - all medal dom.,33.33,33.33,33.33,,,,,,,
Softball,USA,JPN,,,,,,,,
Softball - gold medal dom.,66.67,33.33,,,,,,,,
Table Tennis,CHN,KOR,GER,SIN,DEN,FRA,HKG,JPN,PRK,SWE
Table Tennis - all medal dom.,58.330000000000005,14.580000000000002,6.25,6.25,2.08,2.08,2.08,2.08,2.08,2.08
Table Tennis,CHN,KOR,,,,,,,,
Table Tennis - gold medal dom.,93.75,6.25,,,,,,,,
Taekwondo,KOR,USA,CHN,TPE,TUR,MEX,FRA,IRI,CUB,ESP
Taekwondo - all medal dom.,12.5,7.140000000000001,7.140000000000001,7.140000000000001,5.36,5.36,5.36,4.46,4.46,3.5700000000000003
Taekwondo,KOR,CHN,IRI,MEX,TPE,USA,ARG,AUS,CUB,ESP
Taekwondo - gold medal dom.,31.25,15.62,6.25,6.25,6.25,6.25,3.12,3.12,3.12,3.12
Tennis,USA,RUS,CHI,FRA,ESP,CHN,AUS,BLR,GBR,GER
Tennis - all medal dom.,19.61,13.73,7.84,7.84,7.84,3.92,3.92,3.92,3.92,3.92
Tennis,USA,CHI,RUS,BEL,BLR,CAN,CHN,ESP,GBR,SUI
Tennis - gold medal dom.,35.29,11.76,11.76,5.88,5.88,5.88,5.88,5.88,5.88,5.88
Triathlon,AUS,SUI,NZL,CAN,GBR,GER,AUT,CZE,ESP,POR
Triathlon - all medal dom.,20.830000000000002,16.669999999999998,12.5,8.33,8.33,8.33,4.17,4.17,4.17,4.17
Triathlon,SUI,AUS,AUT,CAN,GBR,GER,NZL,,,
Triathlon - gold medal dom.,25.0,12.5,12.5,12.5,12.5,12.5,12.5,,,
Volleyball,BRA,USA,RUS,CHN,ITA,CUB,GER,AUS,ESP,JPN
Volleyball - all medal dom.,31.25,20.830000000000002,12.5,8.33,6.25,4.17,4.17,2.08,2.08,2.08
Volleyball,USA,BRA,AUS,CHN,CUB,GER,RUS,YUG,,
Volleyball - gold medal dom.,37.5,25.0,6.25,6.25,6.25,6.25,6.25,6.25,,
Weightlifting,CHN,RUS,BLR,KAZ,INA,PRK,THA,IRI,TUR,POL
Weightlifting - all medal dom.,17.22,12.78,5.56,5.0,4.44,4.44,3.8899999999999997,3.8899999999999997,3.3300000000000005,3.3300000000000005
Weightlifting,CHN,KAZ,TUR,IRI,PRK,THA,UKR,GRE,BUL,KOR
Weightlifting - gold medal dom.,38.33,8.33,6.67,6.67,6.67,5.0,3.33,3.33,3.33,3.33
Wrestling,RUS,USA,JPN,GEO,AZE,KAZ,CUB,IRI,UKR,BUL
Wrestling - all medal dom.,16.73,8.16,7.76,5.71,5.3100000000000005,4.9,4.49,4.49,4.08,3.27
Wrestling,RUS,JPN,USA,AZE,IRI,CUB,UZB,KOR,GEO,CHN
Wrestling - gold medal dom.,30.0,11.43,8.57,5.71,5.71,5.71,5.71,4.29,2.86,2.86
